question_image,correct_answer,explanation
,,
https://www.indiabix.com/_files/images/puzzles/10-1-q-3.png,6,"Looking at the diagram in rows, the central circle equals half the sum of the numbers in the other circles to the left and right of the centre."
,,
https://www.indiabix.com/_files/images/puzzles/10-1-q-4.png,9,The number at the centre of each triangle equals the sum of the lower two numbers minus the top number.
,,
https://www.indiabix.com/_files/images/puzzles/10-1-q-6.png,19,"As you move diagonally down, numbers follow the sequence of Prime Numbers."
,,
https://www.indiabix.com/_files/images/puzzles/10-1-q-8.png,16,"Starting bottom left and moving clockwise around the triangle, numbers follow the sequence of Square Numbers."
,,
https://www.indiabix.com/_files/images/puzzles/10-1-q-11.png,39,"Working from top to bottom, double each number and subtract 1, then 2, then 3 etc."
,,
https://www.indiabix.com/_files/images/puzzles/10-1-q-12.png,4,"Working in columns, the sum of the numbers in each column is always 14."
,,
https://www.indiabix.com/_files/images/puzzles/10-1-q-15.png,6,The numbers in each row and column add up to 15.
,,
https://www.indiabix.com/_files/images/puzzles/10-1-q-17.png,40,"Moving from left to right, numbers increase by 2,3,4 and 5."
,,
https://www.indiabix.com/_files/images/puzzles/10-1-q-19.png,9,"In each square of the diagram, the sum of the numbers is always 22."
,,
https://www.indiabix.com/_files/images/puzzles/10-1-q-3.png,6,"Looking at the diagram in rows, the central circle equals half the sum of the numbers in the other circles to the left and right of the centre."
,,
https://www.indiabix.com/_files/images/puzzles/10-1-q-4.png,9,The number at the centre of each triangle equals the sum of the lower two numbers minus the top number.
,,
https://www.indiabix.com/_files/images/puzzles/10-1-q-6.png,19,"As you move diagonally down, numbers follow the sequence of Prime Numbers."
,,
https://www.indiabix.com/_files/images/puzzles/10-1-q-20.png,16,"Moving clockwise, around alternate segments in the chain, one sequence decreases by 1, 2, 3 and 4 each time, while the other increases by 2, 3, 4 and 5."
,,
https://www.indiabix.com/_files/images/puzzles/10-1-q-21.png,7,"Starting with the numbers in the top row, and following straight lines through the centre of the diagram, subtract the middle number from the top number to give the corresponding value on the  bottom row."
,,
https://www.indiabix.com/_files/images/puzzles/10-1-q-23.png,13,"In each circle, starting at the top left segment, numbers increase, as you move clockwise, by 2 for the upper left circle, 3 for the upper right, 4 for the lower right and 5 for the lower left."
,,
https://www.indiabix.com/_files/images/puzzles/10-1-q-26.png,3,"In each group of 3 numbers, the lower number equals the average of the top two numbers."
,,
https://www.indiabix.com/_files/images/puzzles/10-1-q-27.png,1,"Reading each row as a 3 digit number, the rows follow the sequence of square numbers, from 17 to 19."
,,
https://www.indiabix.com/_files/images/puzzles/10-2-q-4.png,1,"Reading each pair of numbers as a 2 digit number, they follow the sequence of square numbers from 6 to 9."
,,
https://www.indiabix.com/_files/images/puzzles/10-2-q-5.png,7,"Taking the top row of circles, numbers in the central circle equal the sum of the numbers in corresponding segments of the left and right hand circles. In the bottom row, numbers in the central  circle equal the difference between numbers in corresponding segments of the left and right hand circles."
,,
https://www.indiabix.com/_files/images/puzzles/10-2-q-7.png,253,"Starting at the top left, and moving through the diagram in a Z shape, double each number and add 3 to give the next number along."
,,
https://www.indiabix.com/_files/images/puzzles/10-2-q-9.png,51,"Moving to the right, double each number and subtract 3 to give the next number along."
,,
https://www.indiabix.com/_files/images/puzzles/10-2-q-10.png,2,"Starting with the 10 at the top, one set of numbers increases by 3 each time, written in alternate boxes as you move down the diagram, and the other set of numbers decreases by 2, written in the boxes remaining."
,,
https://www.indiabix.com/_files/images/puzzles/10-2-q-12.png,6,"On each row, add the values of the left hand and central boxes to give the value in the right hand box."
,,
https://www.indiabix.com/_files/images/puzzles/10-2-q-14.png,10,"In each star diagram, the number in the centre equals the sum of the top three numbers, subtracting the sum of the bottom two numbers."
,,
https://www.indiabix.com/_files/images/puzzles/10-2-q-15.png,23,"Starting top left, and moving down in columns from left to right, the numbers follow the sequence of Prime Numbers from 2 to 23."
,,
https://www.indiabix.com/_files/images/puzzles/10-2-q-16.png,10,Numbers in the segments of the left hand circle equal the difference between numbers in corresponding segments of the two right hand circles.
,,
https://www.indiabix.com/_files/images/puzzles/10-2-q-19.png,6,"Numbers in the lower left circle equal the sum of the numbers in corresponding segments of the top two circles, and numbers in the lower right circle equal the difference of the numbers in corresponding segments of the top two circles."
,,
https://www.indiabix.com/_files/images/puzzles/10-2-q-22.png,4,"In each triangle, the central number equals the sum of the three outer numbers   divided by two."
,,
https://www.indiabix.com/_files/images/puzzles/10-2-q-24.png,5,"In each star, the central number equals the difference between the sum of the even numbers and the sum of the odd numbers from the points of the star."
,,
https://www.indiabix.com/_files/images/puzzles/10-2-q-26.png,5,"In each triangle, the number at the apex of the triangle equals the average of the two numbers at the bottom."
,,
